"Time","10.42.2.7:9400-full0"
2025-05-20 10:20:00,0%
2025-05-20 10:20:15,0%
2025-05-20 10:20:30,0%
2025-05-20 10:20:45,0%
2025-05-20 10:21:00,0%
2025-05-20 10:21:15,0%
2025-05-20 10:21:30,0%
2025-05-20 10:21:45,0%
2025-05-20 10:22:00,0%
2025-05-20 10:22:15,0%
2025-05-20 10:22:30,0%
2025-05-20 10:22:45,0%
2025-05-20 10:23:00,0%
2025-05-20 10:23:15,0%
2025-05-20 10:23:30,0%
2025-05-20 10:23:45,0%
2025-05-20 10:24:00,0%
2025-05-20 10:24:15,0%
2025-05-20 10:24:30,0%
2025-05-20 10:24:45,0%
2025-05-20 10:25:00,0%
2025-05-20 10:25:15,0%
2025-05-20 10:25:30,0%
2025-05-20 10:25:45,0%
2025-05-20 10:26:00,0%
2025-05-20 10:26:15,0%
2025-05-20 10:26:30,0%
2025-05-20 10:26:45,0%
2025-05-20 10:27:00,0%
2025-05-20 10:27:15,0%
2025-05-20 10:27:30,0%
2025-05-20 10:27:45,0%
2025-05-20 10:28:00,0%
2025-05-20 10:28:15,0%
2025-05-20 10:28:30,0%
2025-05-20 10:28:45,0%
2025-05-20 10:29:00,31.9%
2025-05-20 10:29:15,31.9%
2025-05-20 10:29:30,90.4%
2025-05-20 10:29:45,90.4%
2025-05-20 10:30:00,94.2%
2025-05-20 10:30:15,94.2%
2025-05-20 10:30:30,96.4%
2025-05-20 10:30:45,96.4%
2025-05-20 10:31:00,87.7%
2025-05-20 10:31:15,87.7%
2025-05-20 10:31:30,93.7%
2025-05-20 10:31:45,93.7%
2025-05-20 10:32:00,94.6%
2025-05-20 10:32:15,94.6%
2025-05-20 10:32:30,95.0%
2025-05-20 10:32:45,95.0%
2025-05-20 10:33:00,94.9%
2025-05-20 10:33:15,94.9%
2025-05-20 10:33:30,86.5%
2025-05-20 10:33:45,86.5%
2025-05-20 10:34:00,95.2%
2025-05-20 10:34:15,95.2%
2025-05-20 10:34:30,94.6%
2025-05-20 10:34:45,94.6%
2025-05-20 10:35:00,94.3%
2025-05-20 10:35:15,94.3%
2025-05-20 10:35:30,87.9%
2025-05-20 10:35:45,87.9%
2025-05-20 10:36:00,96.8%
2025-05-20 10:36:15,96.8%
2025-05-20 10:36:30,94.7%
2025-05-20 10:36:45,94.7%
2025-05-20 10:37:00,94.4%
2025-05-20 10:37:15,94.4%
2025-05-20 10:37:30,87.2%
2025-05-20 10:37:45,87.2%
2025-05-20 10:38:00,94.9%
2025-05-20 10:38:15,94.9%
2025-05-20 10:38:30,96.8%
2025-05-20 10:38:45,96.8%
2025-05-20 10:39:00,96.2%
2025-05-20 10:39:15,96.2%
2025-05-20 10:39:30,90.6%
2025-05-20 10:39:45,90.6%
2025-05-20 10:40:00,93.3%
2025-05-20 10:40:15,93.3%
2025-05-20 10:40:30,95.1%
2025-05-20 10:40:45,95.1%
2025-05-20 10:41:00,94.0%
2025-05-20 10:41:15,94.0%
2025-05-20 10:41:30,89.8%
2025-05-20 10:41:45,89.8%
2025-05-20 10:42:00,92.0%
2025-05-20 10:42:15,92.0%
2025-05-20 10:42:30,95.3%
2025-05-20 10:42:45,95.3%
2025-05-20 10:43:00,94.5%
2025-05-20 10:43:15,94.5%
2025-05-20 10:43:30,93.4%
2025-05-20 10:43:45,93.4%
2025-05-20 10:44:00,91.7%
2025-05-20 10:44:15,91.7%
2025-05-20 10:44:30,96.1%
2025-05-20 10:44:45,96.1%
2025-05-20 10:45:00,95.6%
2025-05-20 10:45:15,95.6%
2025-05-20 10:45:30,93.8%
2025-05-20 10:45:45,93.8%
2025-05-20 10:46:00,91.2%
2025-05-20 10:46:15,91.2%
2025-05-20 10:46:30,95.3%
2025-05-20 10:46:45,95.3%
2025-05-20 10:47:00,95.4%
2025-05-20 10:47:15,95.4%
2025-05-20 10:47:30,94.2%
2025-05-20 10:47:45,94.2%
2025-05-20 10:48:00,90.9%
2025-05-20 10:48:15,90.9%
2025-05-20 10:48:30,94.5%
2025-05-20 10:48:45,94.5%
2025-05-20 10:49:00,95.7%
2025-05-20 10:49:15,95.7%
2025-05-20 10:49:30,96.0%
2025-05-20 10:49:45,96.0%
2025-05-20 10:50:00,89.7%
2025-05-20 10:50:15,89.7%
